Anti-protesters,Married_women_obedience,Strongman_as_Leader,Anti_LGBT,Pro_Authorities,Religion_no_influence_in_good_person,Lack_traditional_values_hurt_country,Nudist_camps_OK,Freedom_speech_is_good_even if_upsets_people,Fatalism_regarding_perceived_lack_of_moral_values,Sexual_political_diversity_OK,Adherence_to_old_values,Admiration_for_early_social_cause_fighters,Faith_in_powerful_leader,Best_in_humanity_those_who_challenge_old_ways ,Anti-abortion_and_antipornography,Radical_immorality_punished_law,Womens_place_is_wherever_she_wants,Strong_conformity_rules_government_authority,Not_one_correct_way_to_live_life,ÊHomosexuals_feminists_praised_for_defy_traditional_values,Silencing_voices_social_issues_brings_order,Extraverted,Critical,Dependable,Anxious,Open_new_experiences,Reserved,Sympathetic,Disorganized,Calm,Conventional,IP_country,education_1lesshighschool_2highschool_3uni_4grad,living_setting_1rural_2suburban_2urban,gender_1male_2female_3other,english_native,age,hand_1right_2left_3ambi,religion_1agnostic_2atheist_3buddhist_4catholic_5mormon_6protestant_7christian_8hindu_9jewish_10muslim_11sikh_12other,orientation_1hetero_2bi_3homo_4asexual_5other,race_1asian_2arab_3black_4aborigen_5nativeamerican_6white_7other,voted,marital_1never_2current_3previous,familysize
3,2,5,4,4,5,3,2,7,7,4,8,2,3,4,5,3,6,3,3,3,6,6,3,6,2,6,6,6,2,6,2,US,0,2,2,1,62,1,4,1,4,2,3,2
1,1,8,9,1,9,7,4,7,9,1,4,9,5,9,1,5,9,1,5,2,7,5,5,3,1,6,5,2,7,6,5,AU,3,3,2,1,26,1,1,1,1,2,1,3
2,1,2,9,2,9,2,6,8,1,9,4,7,2,8,1,1,9,2,8,9,2,6,6,5,7,6,2,6,5,5,3,US,3,2,2,1,30,1,1,1,4,1,1,2
1,1,2,9,1,9,1,9,5,1,9,2,9,5,5,1,2,9,2,9,5,5,4,7,4,6,4,5,6,2,4,1,SE,3,2,3,2,56,2,12,0,0,2,3,2
5,1,2,9,3,9,1,7,8,1,9,2,9,1,7,1,1,9,2,8,9,3,1,5,5,5,6,6,3,7,1,4,FR,2,2,1,2,18,1,2,0,4,2,1,2
3,6,5,2,3,3,6,6,8,6,5,7,2,6,4,6,6,5,3,4,7,4,3,2,7,4,6,5,4,2,6,4,US,3,2,1,1,58,1,7,1,4,2,2,1
1,5,1,9,1,9,1,8,9,1,8,1,9,6,9,1,1,8,2,8,8,1,5,6,3,3,7,5,6,7,3,2,SG,2,2,1,1,16,3,2,2,5,2,1,2
8,8,8,4,9,4,9,6,1,7,2,7,1,9,2,3,7,1,9,2,1,7,5,5,7,1,6,6,1,1,6,1,US,2,1,1,1,14,1,4,1,4,1,1,3
3,1,2,7,2,7,3,7,7,4,8,2,4,6,4,5,4,9,3,7,4,3,1,2,6,5,6,7,2,2,6,2,US,2,2,2,1,17,1,1,1,4,2,1,2
6,9,2,5,2,9,1,9,9,2,8,5,7,5,7,1,1,9,2,8,5,2,4,5,6,1,6,4,2,1,6,2,TH,2,2,2,1,61,1,2,1,4,2,3,2
3,2,4,8,3,7,5,3,7,4,8,4,6,5,7,3,4,8,3,7,5,4,5,6,3,5,5,4,5,7,3,4,MY,2,2,1,1,16,1,4,1,1,2,1,2
2,1,3,9,3,8,3,5,5,5,8,2,8,3,5,2,4,9,4,8,8,6,1,5,1,7,4,6,5,7,1,4,US,1,1,2,1,48,1,7,1,4,2,3,3
9,5,5,9,2,9,1,9,9,1,9,1,9,9,9,1,1,6,2,9,5,7,5,7,7,7,7,7,4,5,5,7,US,2,3,1,1,17,3,9,1,4,2,1,2
3,1,1,9,1,8,1,9,9,1,9,3,7,3,9,1,1,9,1,6,9,1,2,5,5,2,7,7,5,5,5,1,US,3,2,1,1,25,1,2,1,4,2,1,3
2,1,4,9,1,8,3,3,9,3,9,4,9,3,8,2,2,9,2,9,6,7,3,4,6,7,6,7,5,1,4,2,US,2,3,2,1,17,1,4,1,4,2,1,4
3,1,1,9,8,8,3,5,5,2,7,4,7,7,5,2,4,8,3,3,5,4,1,6,6,2,2,6,1,2,6,7,IT,2,2,1,2,23,3,2,2,4,1,1,2
3,1,3,9,2,9,2,7,9,2,9,3,9,3,9,3,2,9,2,9,9,1,5,4,6,7,6,6,7,5,5,1,US,1,2,3,1,16,1,4,2,4,2,1,4
5,2,3,9,1,9,2,9,9,2,9,2,9,2,9,1,2,9,1,7,8,3,4,6,6,4,7,4,7,6,7,3,IN,2,2,1,2,18,1,2,1,1,2,1,2
6,2,3,3,2,3,7,7,8,8,6,6,1,7,6,3,6,6,6,7,1,7,2,5,6,6,3,3,6,1,2,5,US,3,1,1,1,46,1,6,1,4,1,1,2
2,4,1,5,4,9,1,8,9,2,9,5,7,2,7,3,1,6,2,9,4,2,3,6,7,4,3,5,6,1,6,3,US,2,3,1,1,34,1,2,1,4,2,1,3
1,1,1,9,1,9,2,7,9,1,8,2,7,3,8,1,2,9,1,9,7,1,2,5,6,2,7,7,6,6,7,2,BR,2,3,1,2,18,3,1,1,5,1,1,1
6,5,6,1,6,3,3,1,7,5,4,6,1,6,3,9,6,7,5,5,1,5,3,2,5,4,6,7,4,6,7,1,US,2,2,1,2,15,1,4,1,4,2,1,4
1,1,1,9,2,8,1,8,8,5,9,3,9,7,6,1,3,9,2,9,9,2,5,5,6,6,6,6,6,5,5,3,GB,3,1,1,1,18,1,1,1,4,2,1,2
4,1,3,8,3,5,3,4,7,2,7,3,8,3,6,2,4,9,3,6,7,1,2,5,5,6,7,7,4,5,5,2,US,1,2,2,1,16,1,1,2,1,2,1,4
3,3,3,8,3,6,6,3,7,5,7,6,3,7,2,7,8,8,3,7,5,5,3,4,6,2,5,6,5,2,6,6,US,3,3,1,1,49,1,6,1,4,1,2,7
5,1,1,9,2,8,2,6,9,1,9,5,8,3,5,1,2,9,1,8,9,1,6,7,2,7,7,5,3,6,1,1,US,1,2,2,1,15,1,12,2,4,2,1,2
1,2,1,8,1,8,1,8,9,1,9,3,9,1,9,1,1,9,2,9,8,1,2,6,1,6,2,7,7,5,3,3,CA,3,2,2,1,30,1,1,1,2,2,1,3
9,9,9,1,9,1,9,1,1,9,1,9,1,9,1,9,9,1,9,1,1,9,7,7,7,1,1,2,2,1,7,2,AU,3,3,1,1,22,1,4,1,4,1,2,5
2,6,9,3,6,5,7,7,6,9,6,3,9,9,3,1,8,9,8,6,6,8,5,5,6,7,5,7,7,7,2,1,TR,1,3,1,2,15,1,10,1,4,2,1,1
1,1,2,9,2,9,2,8,8,1,8,1,8,2,7,1,1,8,2,8,7,2,6,5,3,3,5,3,3,6,4,3,US,2,2,1,1,14,1,1,3,5,2,1,2
7,3,2,4,1,9,4,8,6,2,8,2,7,5,8,1,4,7,3,8,2,2,3,5,6,1,2,5,6,2,7,2,BG,3,3,1,2,24,1,2,1,4,1,1,2
2,1,1,8,2,6,2,7,9,2,8,3,7,3,9,2,1,9,1,8,8,1,3,5,7,3,6,6,5,2,5,2,US,1,2,2,1,15,2,1,4,4,2,1,2
5,2,5,9,4,8,3,8,9,3,8,3,8,5,8,2,2,8,3,8,8,3,1,5,1,7,5,7,4,5,2,3,US,2,3,2,1,21,2,2,3,4,2,1,3
4,3,6,9,1,9,7,7,7,4,6,4,9,9,9,1,9,8,6,6,9,2,3,7,7,4,7,5,2,2,5,3,SE,1,2,1,1,15,1,2,1,1,1,1,1
8,2,8,8,8,9,8,8,3,2,8,8,2,8,2,1,1,8,8,8,5,8,6,7,6,5,5,6,2,7,6,7,CA,3,2,1,1,53,1,1,1,4,1,2,5
2,1,3,9,1,9,2,6,9,2,9,2,9,7,7,1,1,9,1,8,5,4,7,7,5,3,4,1,3,5,4,3,GB,1,3,2,1,15,1,1,1,4,2,1,2
3,4,1,9,2,9,1,5,7,3,8,3,7,2,8,1,1,8,1,9,6,1,5,3,6,5,6,6,6,2,1,1,CA,3,2,1,1,51,1,2,1,4,2,3,2
6,2,4,9,5,8,3,9,9,6,9,3,8,6,5,3,2,8,3,8,7,3,5,4,6,4,7,5,6,3,7,3,US,2,2,1,1,19,1,4,1,5,1,1,3
1,1,1,9,9,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,2,5,3,5,5,7,7,6,3,1,US,2,2,2,1,17,1,0,2,1,2,1,2
5,6,5,4,5,5,5,4,6,6,4,4,4,5,5,2,6,4,5,4,5,5,3,1,5,5,4,7,5,1,6,5,US,2,3,1,1,42,1,7,4,3,2,1,3
1,1,3,9,1,9,1,9,9,3,9,1,9,1,9,1,7,9,1,8,5,1,5,6,5,4,6,5,5,4,2,2,MX,2,3,2,2,18,1,2,4,4,2,1,0
7,1,1,9,7,9,1,8,9,1,9,2,8,1,3,1,1,9,1,9,9,1,5,6,7,5,5,4,5,2,5,2,FR,1,1,2,2,16,1,12,1,4,2,1,3
2,1,2,9,1,6,1,9,9,1,9,2,9,1,9,1,1,1,1,8,9,1,5,6,3,6,5,7,6,5,3,1,PT,2,1,2,2,18,1,2,3,4,2,1,2
7,1,5,8,3,9,8,8,9,5,9,3,8,6,8,1,6,9,5,7,7,7,2,6,1,7,4,6,5,6,1,4,PL,1,2,2,2,17,1,4,2,4,2,1,2
1,4,3,4,1,4,5,7,4,6,5,7,3,4,4,6,4,4,4,9,1,1,1,1,6,2,5,7,5,5,6,5,US,4,1,1,1,36,1,7,4,4,1,1,1
1,1,1,9,1,9,1,6,9,1,9,1,9,4,8,1,1,9,1,8,5,1,1,7,1,7,2,7,3,1,1,3,GB,3,3,2,1,19,1,2,1,4,2,1,1
6,2,8,1,3,4,8,5,6,8,4,4,1,7,6,6,7,4,4,3,1,6,4,6,5,4,3,5,4,4,6,4,CA,3,3,2,2,25,1,7,1,1,2,1,2
6,2,6,9,3,9,2,9,7,1,8,1,8,3,7,1,2,9,6,9,8,4,1,5,5,2,5,7,3,5,7,5,CA,2,3,1,1,19,1,2,1,4,2,1,3
5,1,1,9,1,9,1,7,9,1,9,1,9,3,7,1,1,9,1,9,8,1,6,7,4,5,7,2,5,2,3,1,IE,4,3,1,1,24,1,2,2,4,2,1,2
2,1,2,9,5,9,3,6,7,4,9,5,9,3,6,1,5,9,2,9,9,6,3,5,5,5,7,5,5,5,6,2,CA,2,2,2,1,21,1,1,1,4,1,1,2
5,2,3,8,4,8,7,2,8,6,8,6,8,6,6,2,1,8,3,8,6,3,5,5,4,3,6,6,5,7,5,1,US,3,0,1,1,49,1,12,1,1,1,2,2
2,2,1,8,2,8,2,2,8,2,8,2,8,2,8,2,2,2,2,8,7,2,6,5,5,2,6,5,6,6,5,2,US,3,2,1,1,61,1,12,1,4,1,1,3
5,4,6,9,3,8,8,9,8,5,4,4,6,8,7,1,9,9,7,7,5,7,2,6,6,4,6,6,3,3,1,1,US,3,3,1,1,23,1,1,5,5,2,1,3
5,1,1,9,5,8,2,9,8,1,9,2,9,2,8,1,1,9,2,7,9,2,1,5,5,6,7,7,3,5,5,5,US,3,2,1,1,24,1,1,1,4,2,1,3
5,9,5,8,1,7,4,9,9,4,7,8,6,8,9,1,2,4,2,9,5,5,1,1,1,5,5,6,5,6,4,3,SG,2,3,1,1,16,1,1,2,1,2,1,2
8,8,7,8,8,8,6,7,9,8,5,5,8,9,5,1,5,8,4,8,9,9,6,4,6,2,7,4,3,4,5,3,IN,3,2,1,2,24,1,8,1,1,1,1,1
1,1,1,9,1,8,1,7,9,2,9,1,9,1,9,1,1,9,1,9,8,1,6,5,6,5,6,2,6,2,6,3,US,2,3,2,1,17,1,1,3,4,2,1,2
1,1,1,9,1,3,1,9,6,1,9,2,7,1,7,1,1,9,1,9,9,1,1,7,7,2,7,7,4,2,6,1,US,4,1,1,1,28,1,9,1,4,1,1,2
5,1,1,9,1,9,1,9,9,1,9,2,9,1,5,1,1,9,1,9,9,1,3,3,7,5,7,3,5,7,3,1,US,2,2,2,1,14,1,2,2,4,2,1,3
1,1,1,9,1,8,1,9,9,1,9,2,9,3,6,1,1,9,1,7,9,1,4,5,3,6,7,4,6,5,1,1,GB,3,1,2,1,23,1,12,3,4,1,1,4
1,1,1,9,1,7,1,5,8,2,9,1,9,1,6,1,1,9,1,7,7,1,2,6,7,6,6,6,5,1,4,5,AE,0,3,2,2,18,1,10,2,2,2,1,2
2,1,1,9,2,8,2,4,7,3,8,2,8,3,7,1,2,9,2,8,8,1,1,1,7,1,6,7,2,2,5,2,US,1,2,1,1,16,1,9,1,4,2,1,3
1,1,1,9,1,1,1,9,9,1,9,1,9,1,9,1,1,1,1,9,9,1,2,3,6,2,7,5,6,3,6,2,GR,4,1,1,2,33,2,2,1,4,1,2,1
2,1,1,8,1,9,1,8,9,1,9,1,9,1,9,1,1,9,1,8,9,1,6,6,5,5,7,3,5,5,3,1,US,2,2,2,1,26,1,2,2,4,2,1,3
4,1,6,5,6,2,6,6,7,6,6,6,2,5,6,5,6,9,4,4,4,6,1,5,6,6,3,4,3,3,5,3,US,4,2,2,1,33,3,6,1,4,1,2,1
4,2,1,9,2,9,2,9,8,2,6,2,8,1,7,1,1,8,2,8,5,2,2,6,5,5,6,6,5,5,6,3,FI,2,2,1,2,23,1,2,1,4,1,1,3
3,1,1,9,2,9,1,7,9,1,9,1,9,1,7,1,1,9,1,9,7,1,3,6,5,4,5,6,7,3,2,1,GB,2,3,1,1,17,1,2,1,4,2,1,2
8,6,9,2,9,7,6,3,3,8,2,7,2,9,2,7,9,6,7,1,1,8,2,6,3,3,6,7,5,6,7,1,US,1,3,2,1,15,1,4,1,4,2,1,3
3,3,4,8,5,5,3,5,7,5,6,4,7,5,5,5,5,7,3,6,7,2,5,4,2,6,5,5,4,6,3,2,GB,1,2,2,1,14,1,6,4,4,2,1,3
2,1,1,9,2,9,1,8,9,2,0,2,9,1,8,1,1,9,1,9,9,1,6,6,7,5,5,6,2,1,6,2,MK,3,3,2,2,22,1,2,1,4,1,1,3
3,1,2,9,3,8,1,5,7,2,8,7,9,7,8,2,7,8,5,8,8,2,2,2,7,6,6,6,7,6,5,1,US,3,2,2,1,64,1,12,1,4,1,1,3
1,9,2,8,1,9,3,8,9,4,9,7,8,2,8,2,2,8,3,8,8,2,2,2,7,4,6,7,5,1,6,1,US,3,3,1,1,69,1,2,1,4,1,2,1
1,1,1,9,1,9,1,8,1,2,9,2,8,2,9,1,1,9,1,9,7,1,1,5,7,6,5,1,3,1,3,2,US,2,3,2,1,44,1,7,2,4,1,2,5
2,2,1,9,2,9,1,8,8,2,9,6,9,3,5,7,1,8,3,8,8,1,2,4,5,1,6,6,3,5,6,4,US,3,1,2,1,41,1,12,1,4,2,1,2
3,1,0,9,2,9,1,7,9,1,7,1,9,1,9,1,1,1,1,7,9,1,4,5,6,6,6,4,7,3,2,2,AU,2,3,2,1,46,1,2,1,4,1,2,4
3,1,1,9,3,9,2,9,9,5,9,1,9,1,9,1,6,9,1,9,9,1,1,4,7,1,7,6,7,1,6,1,GB,4,3,1,1,42,2,2,3,4,2,1,1
3,2,6,8,1,9,1,7,8,7,8,6,9,9,9,8,9,9,2,8,8,7,4,7,4,1,5,6,1,6,6,3,GB,1,2,1,1,15,3,1,4,4,2,1,2
2,1,1,9,2,9,6,8,9,2,9,3,9,2,9,1,1,9,1,9,7,1,4,6,3,6,6,3,6,6,4,3,GB,4,2,2,1,37,1,1,1,4,2,2,5
2,1,1,3,2,7,1,8,7,3,3,5,8,2,7,2,2,8,2,2,1,1,6,3,2,3,5,5,6,5,5,1,PT,2,2,1,2,19,1,6,1,5,1,1,2
1,1,8,9,3,1,1,9,9,2,9,6,9,6,1,9,5,9,2,9,1,9,7,5,1,1,7,2,7,5,7,1,AE,4,3,1,2,32,1,2,3,5,2,3,2
6,5,4,9,7,9,8,1,6,5,7,3,8,7,6,6,5,7,6,6,3,7,2,7,5,6,5,7,3,6,2,7,US,2,3,1,1,16,1,1,1,1,2,1,3
2,1,2,4,2,5,4,6,7,3,7,5,4,3,3,4,2,7,4,3,4,3,5,4,3,2,5,3,3,4,5,4,US,4,2,1,1,44,1,4,1,4,1,2,2
1,1,2,9,1,9,1,9,9,2,9,1,9,7,3,1,2,9,1,9,6,3,1,2,5,7,6,7,7,1,3,1,IN,3,3,1,2,21,1,1,1,1,2,1,2
3,1,6,9,4,8,2,7,7,3,9,3,9,6,9,9,6,9,3,9,9,3,3,1,4,2,6,7,6,5,6,1,CA,2,2,2,1,19,1,6,1,4,1,1,2
6,5,9,2,4,5,9,9,6,9,4,9,1,9,1,5,9,2,6,5,1,9,2,2,7,3,4,7,6,3,6,4,US,4,3,1,1,29,1,12,1,1,2,2,2
6,5,7,3,5,9,7,4,5,5,3,7,7,7,5,4,2,7,6,4,4,6,4,6,5,5,3,7,2,2,4,2,BR,4,3,1,2,40,1,1,1,4,1,2,2
1,1,1,1,1,5,1,6,8,1,8,1,9,3,6,1,1,9,1,9,9,1,2,7,3,5,6,5,4,5,1,3,US,2,3,3,1,16,3,2,5,5,2,1,3
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,6,2,7,4,7,3,2,2,7,2,GB,1,0,1,1,15,1,2,1,4,2,1,3
2,1,1,9,7,1,2,9,7,1,9,2,9,1,7,1,1,9,1,8,9,1,3,1,6,5,6,6,7,3,3,3,GB,1,2,1,1,27,1,2,2,4,2,2,3
2,2,2,8,2,9,1,9,9,1,9,4,8,2,9,1,9,9,5,4,6,2,4,6,7,1,7,5,2,2,6,2,US,3,3,1,1,24,1,1,1,4,2,1,1
2,1,1,9,2,7,1,9,8,3,9,1,9,2,9,1,1,9,1,9,9,1,6,5,3,2,7,2,6,7,4,1,AU,2,2,3,1,21,1,1,5,4,1,1,2
7,6,9,3,4,6,7,1,6,8,2,2,3,9,5,6,6,5,2,4,1,6,5,7,6,2,5,7,5,5,7,3,TR,2,3,1,2,17,1,10,1,4,2,1,1
6,2,3,8,6,9,3,5,7,4,8,3,8,5,7,1,6,7,4,7,5,6,1,6,5,2,5,7,2,3,6,5,ZA,2,2,1,2,17,1,2,1,4,2,1,1
6,2,1,9,4,9,3,7,8,3,8,3,8,3,8,1,1,9,4,8,8,2,5,6,6,1,7,3,1,1,1,2,US,2,1,1,1,17,1,12,1,4,2,1,3
2,1,1,9,1,9,1,9,8,5,8,5,9,2,8,1,2,9,2,9,8,3,4,4,7,2,7,5,7,2,6,2,DK,2,3,1,2,17,1,6,1,4,2,1,3
6,1,1,8,2,8,2,8,9,6,9,3,8,1,8,1,1,8,2,6,8,2,5,2,3,5,7,2,6,3,3,5,US,3,2,1,1,56,1,1,1,4,2,2,3
2,1,1,9,1,9,1,9,9,1,9,1,9,2,9,1,1,9,1,8,9,1,3,6,4,5,7,3,6,3,4,2,CA,2,2,1,1,24,1,2,2,4,1,1,2
6,1,3,8,2,8,8,9,9,8,3,3,2,8,8,1,9,8,8,9,2,7,5,6,6,7,7,3,7,5,7,2,US,2,2,1,1,22,1,3,1,4,2,1,3
2,1,2,9,4,9,2,7,9,2,9,1,9,1,9,1,1,9,1,9,9,1,1,2,3,7,7,7,7,2,1,1,US,1,2,2,1,14,1,1,2,4,2,1,2
1,1,5,8,1,9,1,7,8,4,7,1,8,2,8,1,1,9,1,8,4,1,1,7,6,7,7,7,1,5,1,6,US,2,2,1,1,18,1,2,1,1,2,1,2
2,1,1,9,3,7,2,5,8,3,8,2,8,6,7,1,3,9,6,8,8,3,3,1,6,5,6,6,7,2,5,2,US,2,2,2,1,29,1,12,1,0,2,2,1
6,5,8,1,9,4,9,1,1,8,4,8,5,8,1,8,9,6,8,1,5,7,2,5,7,3,3,6,5,1,6,6,MY,2,2,2,2,24,1,10,1,1,2,1,1
2,6,3,6,4,5,6,3,3,4,7,7,8,7,6,1,1,6,4,6,5,3,3,5,3,6,5,4,6,5,2,4,CA,2,3,1,2,19,2,1,1,1,2,1,3
3,1,1,9,2,7,1,9,7,2,9,5,7,1,3,3,5,9,6,9,1,7,2,5,6,1,6,5,6,1,7,1,NZ,3,2,1,1,26,2,6,1,4,1,1,3
3,1,2,9,3,9,2,4,8,2,8,2,8,2,7,1,2,8,2,8,8,2,2,5,6,2,6,7,4,2,6,2,US,2,3,1,1,20,1,2,2,5,1,1,1
2,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,1,2,3,5,7,7,5,5,5,3,US,2,1,1,1,20,2,2,1,4,1,1,4
3,2,7,9,4,4,6,9,2,2,7,2,7,7,7,1,7,8,6,7,9,5,6,3,3,7,5,1,6,4,3,2,NL,2,2,1,1,17,1,1,2,4,2,1,2
5,3,2,8,6,8,3,8,2,2,8,4,8,2,6,1,2,7,2,8,5,3,4,5,5,5,6,5,5,5,5,3,JP,4,1,1,1,48,2,2,1,4,2,2,3
3,1,6,9,5,8,7,6,7,5,8,6,6,7,7,3,4,9,4,8,7,4,6,2,6,5,6,2,5,5,6,1,US,1,2,2,1,16,1,7,1,4,2,1,2
6,7,8,7,6,3,9,7,4,8,5,9,3,8,3,5,8,4,6,3,3,8,7,2,5,2,2,2,7,4,3,7,US,2,1,2,1,38,1,7,1,4,1,2,4
1,1,1,9,2,9,1,8,7,1,9,1,8,3,5,1,1,9,1,8,9,1,1,1,4,6,4,7,6,3,4,2,GB,2,1,2,1,17,1,1,1,4,2,1,2
5,7,5,1,4,1,7,1,5,6,2,8,1,6,5,6,4,1,4,1,1,6,1,5,4,3,6,7,2,5,7,3,US,3,3,2,1,39,1,7,1,4,2,2,3
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,2,3,5,5,7,3,5,1,4,1,US,3,2,1,1,19,1,1,1,4,1,1,2
